player_id;player;team;age;games_played;wins;losses;minutes;rebounds;assists;turnovers;steals;blocks;personal_fouls;points
164;Harrison Barnes;GSW;24;66;59;7;30.9;4.9;1.8;0.9;0.6;0.2;2.1;11.7
165;Hassan Whiteside;MIA;27;73;42;31;29.1;11.8;0.4;1.9;0.6;3.7;2.8;14.2
166;Henry Sims;BKN;26;14;2;12;18.8;5.1;0.6;0.9;0.6;1.0;2.6;6.5
167;Hollis Thompson;PHI;25;77;10;67;28.0;3.5;1.3;1.0;0.5;0.3;2.4;9.8
168;Ian Clark;GSW;25;66;59;7;8.8;1.0;1.0;0.7;0.3;0.2;0.9;3.6
169;Ian Mahinmi;IND;29;71;41;30;25.6;7.1;1.5;1.4;0.9;1.1;3.1;9.3
170;Iman Shumpert;CLE;26;54;39;15;24.4;3.8;1.7;1.1;1.0;0.4;2.2;5.8
171;Isaiah Canaan;PHI;25;77;10;67;25.5;2.3;1.8;1.2;0.7;0.2;1.7;11.0
172;Isaiah Thomas;BOS;27;82;48;34;32.2;3.0;6.2;2.7;1.1;0.1;2.0;22.2
173;Ish Smith;PHI;27;77;16;61;29.1;4.0;6.5;2.3;1.1;0.3;1.7;12.6
174;J.J. O'Brien;UTA;24;2;2;0;3.1;0.5;0.0;0.0;0.5;0.0;0.5;0.0
175;J.R. Smith;CLE;30;77;53;24;30.7;2.8;1.7;0.8;1.1;0.3;2.6;12.4
176;JJ Hickson;WAS;27;35;17;18;12.5;3.8;0.7;0.7;0.4;0.4;1.3;5.9
