Rebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls,Points,Position,GenPosition
 Joakim Noah,10.4 ,2.2 ,1.9 ,1.0 ,1.5 ,3.3 ,11.7 ,Forward Center,Forward
 Jodie Meeks,2.3 ,1.1 ,0.8 ,0.9 ,0.1 ,1.3 ,10.5 ,Shooting Guard,Guard
 Joe Johnson,4.0 ,4.7 ,2.0 ,0.7 ,0.1 ,1.8 ,18.2 ,Guard Forward,Guard
 Joe Smith,1.3 ,0.3 ,0.3 ,0.0 ,0.3 ,0.8 ,0.5 ,Forward Center,Forward
 Joel Anthony,3.5 ,0.3 ,0.5 ,0.1 ,1.2 ,2.6 ,2.0 ,Forward Center,Forward
 Joel Przybilla,4.0 ,0.4 ,0.8 ,0.1 ,0.4 ,2.2 ,1.8 ,Center,Center
 Joey Dorsey,4.4 ,0.6 ,0.9 ,0.6 ,0.4 ,1.8 ,3.1 ,Forward Center,Forward
 Joey Graham,2.2 ,0.5 ,0.7 ,0.2 ,0.2 ,1.9 ,5.2 ,Guard Forward,Guard
 Johan Petro,2.8 ,0.6 ,0.6 ,0.4 ,0.4 ,2.3 ,3.5 ,Forward Center,Forward
 John Salmons,3.6 ,3.5 ,1.9 ,1.0 ,0.4 ,2.2 ,14.0 ,Guard Forward,Guard
 Jon Brockman,2.9 ,0.3 ,0.4 ,0.2 ,0.0 ,1.9 ,2.2 ,Forward Center,Forward
 Jordan Crawford,2.5 ,2.8 ,2.0 ,0.9 ,0.1 ,1.5 ,11.7 ,Guard,Guard
 Jordan Farmar,2.4 ,5.0 ,1.9 ,0.8 ,0.1 ,1.8 ,9.6 ,Point Guard,Guard
 Jordan Hill,4.3 ,0.4 ,0.9 ,0.2 ,0.7 ,2.2 ,5.6 ,Forward Center,Forward
 Josh Childress,2.9 ,0.8 ,0.8 ,0.6 ,0.4 ,1.3 ,5.0 ,Guard Forward,Guard
 Josh Howard,4.1 ,1.3 ,1.1 ,0.7 ,0.3 ,1.9 ,8.4 ,Guard Forward,Guard
 Josh McRoberts,5.3 ,2.1 ,1.3 ,0.7 ,0.8 ,2.3 ,7.4 ,Forward Center,Forward
 Josh Powell,2.5 ,0.4 ,1.0 ,0.1 ,0.1 ,1.4 ,4.1 ,Forward Center,Forward
 Josh Smith,8.5 ,3.3 ,2.6 ,1.3 ,1.6 ,2.8 ,16.5 ,Forward,Forward
 Jrue Holiday,4.0 ,6.5 ,2.7 ,1.5 ,0.4 ,2.5 ,14.0 ,Point Guard,Guard
 Julian Wright,2.3 ,1.1 ,0.8 ,0.8 ,0.4 ,0.9 ,3.6 ,Forward,Forward
