Rebounds,Assisst,Turnovers,Steals,Blocks,Personal Fouls,Points,Position,General Position
Gary Neal,2.1,1.2,0.7,0.5,0,1.4,9.8,Guard,Guard
George Hill,4,3.5,1.4,1.1,0.2,2,12.1,Guard,Guard
Goran Dragic,3.8,5.8,2.6,1,0.2,2.6,14.1,Guard,Guard
Greivis Vasquez,2,4,1.7,0.4,0,1.8,5.7,Guard,Guard
Ian Clark,1,1,0.7,0.3,0.2,0.9,3.6,Guard,Guard
J.J. Barea,2.1,4.1,1.5,0.4,0,1.5,10.9,Guard,Guard
James Harden,6.1,7.5,4.6,1.7,0.6,2.8,29,Guard,Guard
Jared Cunningham,0.9,0.5,0.5,0.3,0,0.9,2.7,Guard,Guard
Jarrett Jack,4.3,7.4,2.9,1.1,0.2,2.4,12.8,Guard,Guard
Jason Terry,1.1,1.4,0.7,0.7,0.1,1.3,5.9,Guard,Guard
Jeremy Lin,3.2,3,1.9,0.7,0.5,2.1,11.7,Guard,Guard
Jerian Grant,1.9,2.3,1.1,0.7,0.1,1.3,5.6,Guard,Guard
Jerryd Bayless,2.7,3.1,1.4,0.9,0.2,2.1,10.4,Guard,Guard
Jimmer Fredette,0,0.2,0.3,0.2,0,0.3,1.5,Guard,Guard
Joe Young,1.2,1.6,0.8,0.4,0,0.7,3.8,Guard,Guard
Jordan Clarkson,4,2.4,1.7,1.1,0.1,2.1,15.5,Guard,Guard
Jordan McRae,0.9,1.1,0.7,0.1,0,0.8,4.5,Guard,Guard
Kirk Hinrich,1.5,1.6,0.7,0.3,0,1.4,3,Guard,Guard
Kyrie Irving,3,4.7,2.3,1.1,0.3,2,19.6,Guard,Guard
Langston Galloway,3.5,2.5,0.7,0.9,0.3,2.2,7.6,Guard,Guard
Leandro Barbosa,1.7,1.2,0.8,0.6,0.1,1.6,6.4,Guard,Guard
Lou Williams,2.5,2.5,1.6,0.9,0.3,1.6,15.3,Guard,Guard
Mario Chalmers,2.6,3.8,1.8,1.4,0.2,3,10.3,Guard,Guard
Matthew Dellavedova,2.1,4.4,1.5,0.6,0.1,2.3,7.5,Guard,Guard
Mo Williams,1.8,2.4,1.4,0.3,0.1,1.5,8.2,Guard,Guard
Monta Ellis,3.3,4.7,2.5,1.9,0.5,2.1,13.8,Guard,Guard
Nate Robinson,0,2,0,0.5,0,2.5,0,Guard,Guard
Norris Cole,3.4,3.7,1.7,0.8,0.1,2.3,10.6,Guard,Guard
O.J. Mayo,2.6,2.9,1.8,1.2,0.2,3.1,7.8,Guard,Guard
Pablo Prigioni,1.9,2.2,0.8,0.9,0,1.4,2.5,Guard,Guard
Patrick Beverley,3.5,3.4,1.3,1.3,0.4,3.3,9.9,Guard,Guard
Ramon Sessions,2.5,2.9,1.4,0.6,0.1,1.2,9.9,Guard,Guard
Randy Foye,1.9,2,1.1,0.5,0.4,1.6,5.9,Guard,Guard
Raymond Felton,3.2,3.6,1.5,0.9,0.2,1.8,9.5,Guard,Guard
Reggie Jackson,3.2,6.2,2.8,0.7,0.1,2.4,18.8,Guard,Guard
Rodney Stuckey,2.7,2.4,1.3,0.7,0.1,1.3,8.9,Guard,Guard
Ronnie Price,1.6,2.4,1.1,1.2,0.2,2.6,5.3,Guard,Guard
Sean Kilpatrick,1.8,0.9,1,0.4,0.1,1.2,11.1,Guard,Guard
Seth Curry,1.4,1.5,0.8,0.5,0.1,0.9,6.8,Guard,Guard
Shaun Livingston,2.2,3,1,0.7,0.3,1.8,6.3,Guard,Guard
Stephen Curry,5.4,6.7,3.3,2.1,0.2,2,30.1,Guard,Guard
Steve Blake,1.5,3.4,1.4,0.4,0.1,1.2,4.4,Guard,Guard
Tim Frazier,2.2,3.2,1.3,0.6,0,1.4,5.1,Guard,Guard
Toney Douglas,2.3,2.6,1,1.1,0.1,2.1,8.7,Guard,Guard
Tony Wroten,2.6,2.5,3.6,0.4,0,1.4,8.4,Guard,Guard
Troy Daniels,1.3,0.5,0.6,0.3,0.1,0.9,5.6,Guard,Guard
Tyler Johnson,3,2.2,1.3,0.7,0.4,1.8,8.7,Guard,Guard
Tyreke Evans,5.2,6.6,2.9,1.3,0.3,2.6,15.2,Guard,Guard
Victor Oladipo,4.8,3.9,2.1,1.6,0.8,2.4,16,Guard,Guard
Zach LaVine,2.8,3.1,1.9,0.8,0.2,2.4,14,Guard,Guard
Alan Anderson,2.1,1.1,0.2,0.3,0.1,1.9,5,Guard Forward,Guard
Alonzo Gee,3.4,1,0.8,0.9,0.2,2.3,4.5,Guard Forward,Guard
Andre Iguodala,4,3.4,1.2,1.1,0.3,1.6,7,Guard Forward,Guard
Andre Roberson,3.6,0.7,0.5,0.8,0.6,1.9,4.8,Guard Forward,Guard
Andrew Wiggins,3.6,2,2.2,1,0.6,2,20.7,Guard Forward,Guard
Anthony Morrow,0.9,0.4,0.3,0.3,0.1,0.9,5.6,Guard Forward,Guard
